excluir,#esklui#,excluo,#eskluo#
aproveitar,#aproveita#,aproveito,#aproveitu#
vencer,#vense#,venco,#vensu#
proteger,#proteje#,protejo,#proteju#
imaginar,#imajina#,imagino,#imajinu#
acabar,#akaba#,acabo,#akabu#
repetir,#hepeti#,repito,#hepitu#
merecer,#merese#,mereso,#meresu#
viajar,#viaja#,viajo,#viaju#
conjugar,#konjuga#,conjugo,#konjugu#
plantar,#planta#,planto,#plantu#
entreter,#entrete#,entretenho,#entreteniu#
enviar,#envia#,envio,#enviu#
crescer,#krese#,cresso,#kresu#
andar,#anda#,ando,#andu#
lambuzar,#lambuza#,lambuzo,#lambuzu#
estudar,#estuda#,estudo,#istudu#
continuar,#kontinua#,continuo,#kontinuo#
aguardar,#aguarda#,aguardo,#aguardu#
ligar,#liga#,ligo,#ligu#
chover,#xove#,chovo,#xovu#
gritar,#grita#,grito,#gritu#
exercer,#ezerse#,exerço,#ezerso#
agir,#aji#,ajo,#aju#
falar,#fala#,falo,#falu#
levantar,#levanta#,levanto,#levantu#
ficar,#fika#,fico,#ficu#
deixar,#deixa#,deixo,#deixu#
escolher,#escolier#,escolho,#escoliu#
ressentir,#hesenti#,ressento,#hesentu#
julgar,#julga#,julgo,#julgu#
possuir,#posui#,possuo,#posuu#
voar,#voa#,voo,#vou#
nadar,#nada#,nado,#nadu#
parar,#para#,paro,#paru#
comer,#kome#,como,#komu#
permanecer,#permanese#,permaneço,#permanesu#
participar,#partisipa#,participo,#partisipu#
cativar,#kativa#,cativo,#kativu#
agradecer,#agradese#,agradeço,#agradesu#
pular,#pula#,pulo,#pulu#
persentir,#persenti#,persento,#persentu#
acompanhar,#akompania#,acompanho,#akompaniu#
dividir,#dividi#,divido,#dividu#
chegar,#xega#,chego,#xegu#
desejar,#dezeja#,desejo,#dezeju#
deslinguar,#deslingua#,deslinguo,#deslinguu#
casar,#kazar#,caso,#kazu#
zoar,#zoa#,zoo,#zou#
conhecer,#konieser#,conheço,#koniesu#
acontecer,#akonteser#,aconteço,#akontesu#
correr,#kohe#,corro,#kohu#
compreender,#kompreende#,compreendo,#kompreendu#
vender,#vende#,vendo,#vendu#
ensinar,#ensina#,ensino,#ensinu#
realizar,#healiza#,realizo,#healisu#
mudar,#muda#,mudo,#mudu#
permitir,#permiti#,permito,#permitu#
sofrer,#sofre#,sofro,#sofru#
atribuir,#atribui#,atribuo,#atribuo#
convidar,#konvida#,convido,#konvidu#
erigir,#eriji#,erijo,#eriju#
analisar,#analiza#,analizo,#analisu#
ocorrer,#okohe#,ocorro,#okohu#
dissolver,#disouve#,dissolvo,#disouvu#
comprazer,#kompraze#,comprazo,#komprazu#
mexer,#mexe#,mexo,#mexu#
precisar,#presiza#,preciso,#presizu#
corrigir,#kohijir#,corrijo,#kohiju#
respeitar,#hespeita#,respeito,#hespeitu#
lavar,#lava#,lavo,#lavu#
varrer,#vahe#,varro,#vahu#
beijar,#beija#,beijo,#beiju#
educar,#eduka#,educo,#eduku#
descer,#dese#,desco,#desu#
dirigir,#diriji#,dirijo,#diriju#
comprar,#kompra#,compro,#kompru#
achar,#axa#,acho,#axu#
fingir,#finji#,finjo,#finju#
contar,#konta#,conto,#kontu#
pensar,#pensa#,penso,#pensu#
existir,#ezisti#,existo,#ezistu#
sacudir,#sakudi#,sacudo,#sakudu#
trabalhar,#trabalia#,trabalho,#trabaliu#
assistir,#asisti#,assisto,#asistu#
submeter,#subimete#,submeto,#subimetu#
atender,#atende#,atendo,#atendu#
viver,#vive#,vivo,#vivu#
cantar,#kanta#,canto,#kantu#
surgir,#surji#,surjo,#surju#
bater,#bate#,bato,#batu#
procurar,#prokura#,procuro,#prokuru#
frigir,#friji#,frijo,#friju#
caminhar,#kaminia#,caminho,#kaminiu#
marcar,#marka#,marco,#marku#
esquecer,#eskece#,esqueco,#eskesu#
tentar,#tenta#,tento,#tentu#
decidir,#desidi#,decido,#desidu#
desistir,#dezisti#,desisto,#dezistu#
lembrar,#lembra#,lembro,#lembru#
aparecer,#aparese#,apareco,#aparesu#
brincar,#brinka#,brinco,#brinku#
usar,#uza#,uso,#uzu#
envolver,#envouve#,envolvo,#envouvu#
ver,#ve#,vejo,#veju#
dever,#deve#,devo,#devu#
romper,#hompe#,rompo,#hompu#
ceder,#sede#,cedo,#sedu#
buscar,#buska#,busco,#busku#
escrever,#eskreve#,escrevo,#eskrevu#
encaminhar,#enkaminiar#,encaminho,#enkaminiu#
cumprir,#kumpri#,cumpro,#kumpru#
esperar,#espera#,espero,#esperu#
amar,#ama#,amo,#amu#
ajudar,#ajuda#,ajudo,#ajudu#
discutir,#diskuti#,discuto,#diskutu#
entrar,#entra#,entro,#entru#
parecer,#parese#,pareco,#paresu#
receber,#resebe#,recebo,#resebu#
partir,#parti#,parto,#partu#
apresentar,#aprezentar#,apresento,#aprezentu#
beber,#bebe#,bebo,#bebu#
adquirir,#adikiri#,adquiro,#adikiru#
oferecer,#oferese#,ofereco,#oferesu#
pegar,#pega#,pego,#pEgu#
encher,#enxe#,encho,#enxu#
passar,#pasa#,passo,#pasu#
iniciar,#inicia#,inicio,#iniciu#
morar,#mora#,moro,#mOru#
dancar,#dansa#,danco,#dansu#
encontrar,#enkontra#,encontro,#enkontru#
sonhar,#soniar#,sonho,#soniu#
compartilhar,#kompartilia#,compartilho,#kompartiliu#
aprender,#aprende#,aprendo,#aprendu#
avisar,#aviza#,aviso,#avizu#
jogar,#joga#,jogo,#jOgu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
entender,#entende#,entendo,#entendu#
mandar,#manda#,mando,#mandu#
preocupar,#preukupa#,preocupo,#preukupu#
garantir,#garanti#,garanto,#garantu#
sentar,#senta#,sento,#sentu#
chamar,#xama#,chamo,#xamu#
