ansiar,#ansia#,anseio,#anseiu#
pleitear,#pleitea#,pleiteio,#pleiteiu#
incendiar,#insendia#,incenceio,#insendeiu#
sortear,#sortea#,sorteio,#sorteiu#
remediar,#hemedia#,remedeio,#hemedeiu#
intermediar,#intermedia#,intermedeio,#intermedeiu#
olhar,#olia#,olho,#Oliu#
colocar,#koloka#,coloco,#kolOku#
informar,#informa#,informo,#infOrmu#
tornar,#torna#,torno,#tOrnu#
mostrar,#mostra#,mostro,#mOstru#
chorar,#xora#,choro,#xOru#
notar,#nota#,noto,#nOtu#
tostar,#tostar#,tosto,#tOstu#
trocar,#troka#,troco,#trOku#
robocar,#heboka#,reboco,#hebOku#
socar,#soka#,soco,#sOku#
cocar,#kosa#,coco,#kOsu#
tomar,#toma#,tomo,#tOmu#
recortar,#hekorta#,#recorto,#hekOrtu#
entortar,#entorta#,entorto,#entOrtu#
encostar,#enkosta#,encosto,#enkOstu#
retornar,#hetorna#,retorno,#hetOrnu#
descobrir,#deskobri#,descubro,#deskubru#
recobrir,#hekobri#,recubro,#hekubru#
engolir,#engoli#,engulo,#engulu#
encobrir,#enkobri#,encubro,#enkubru#
redizer,#hedize#,redigo,#hedigu#
desdizer,#desdize#,desdigo,#desdigu#
condizer,#kondize#,condigo,#kondigu#
entredizer,#entredize#,entregido,#entredigu#
contradizer,#kontradize#,contradigo,#kontradigu#
interdizer,#interdize#,interdigo,#interdigu#
perfazer,#perfaze#,perfaco,#perfasu#
transfazer,#transfaze#,transfaco,#transfasu#
insatisfazer,#insatisfaze#,insatisfaco,#insatisfasu#
liquefazer,#likefaze#,liquefaco,#likefasu#
benfazer,#benfaze#,benfaco,#benfasu#
putrefazer,#putrefaze#,putrefaco,#putrefasu#
contrafazer,#kontrafaze#,contrafaco,#kontrafasu#
torrefazer,#tohefaze#,torrefaco,#tohefasu#
rarefazer,#harefaze#,rarefaco,#harefasu#
esfazer,#esfaze#,esfaco,#esfasu#
desprazer,#despraze#,despraco,#desprasu#
adjazer,#adijaze#,adjaco,#adijasu#
rarefazer,#harefaze#,rarefaco,#harefasu#
descrer,#deskre#,descreio,#deskreiu#
reler,#hele#,releio,#heleiu#
ler,#le#,leio,#leiu#
tresler,#tresle#,tresleio,#treleiu#
ressentir,#hesenti#,ressento,#hesintu#
persentir,#persenti#,persento,#persintu#
desmentir,#desmenti#,desminto,#desmintu#
pressentir,#presenti#,pressinto,#presintu#
assentir,#asenti#,assinto,#asintu#
consentir,#konsenti#,consinto,#konsintu#
impedir,#impedi#,impeco,#impEsu#
pedir,#pedi#,peco,#pEsu#
desimpedir,#dezimpedi#,desimpeco,#dezimpEsu#
despedir,#despedi#,despeco,#despEsu#
expedir,#espedi#,expeco,#espEsu#
desmedir,#desmedi#,desmeco,#desmEsu#
contrapor,#kontrapo#,contraponho,#kontraponiu#
transpor,#transpo#,transponho,#transponiu#
redispor,#hedispo#,redisponho,#hedisponiu#
despor,#despo#,desponho,#desponiu#
superpor,#superpo#,superponho,#superponiu#
pospor,#pospo#,posponho,#posponiu#
antepor,#antepo#,anteponho,#anteponiu#
trespor,#trespo#,tresponho,#tresponiu#
interpor,#interpo#,interponho,#interponiu#
decompor,#dekompo#,decomponho,#dekomponiu#
justapor,#justapo#,justaponho,#justaponiu#
descompor,#deskompo#,descomponho,#deskomponiu#
propor,#propo#,proponho,#proponiu#
pressupor,#presupo#,pressuponho,#presuponiu#
recompor,#hekompo#,recomponho,#hekomponiu#
entrepor,#entrepo#,entreponho,#entreponiu#
prossupor,#prosupo#,prossuponho,#prosuponiu#
predispor,#predispo#,predisponho,#predisponiu#
indispor,#indispo#,indisponho,#indisponiu#
desapor,#dezapo#,desaponho,#dezaponiu#
perseguir,#persegi#,persigo,#persigu#
expelir,#espeli#,expilo,#espilu#
inserir,#inseri#,insiro,#insiru#
agredir,#agredi#,agrido,#agridu#
prevenir,#preveni#,previno,#previnu#
preferir,#preferi#,prefiro,#prefiru#
competir,#kompeti#,compito,#kompitu#
conferir,#konferi#,confiro,#konfiru#
sugerir,#sujeri#,sujiro,#sujiru#
regredir,#regredi#,regrido,#regridu#
divertir,#diverti#,divirto,#divirtu#
transgredir,#transgredi#,transgrido,#transgridu#
digerir,#dijeri#,digiro,#dijiru#
progredir,#progredi#,progrido,#progridu#
aderir,#aderi#,adiro,#adiru#
aferir,#aferi#,afiro,#afiru#
preterir,#preteri#,pretiro,#pretiru#
convergir,#konverji#,convirjo,#konvirju#
deferir,#deferi#,defiro,#defiru#
compelir,#kompeli#,compilo,#kompilu#
conseguir,#konsegi#,consigo,#konsigu#
entreter,#entrete#,entretenho,#entreteniu#
obter,#obite#,obtenho,#obiteniu#
